,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203518.0,00,0.0,80.0,6.0,15.7,1.9,4.8,0.394,1.3,3.5,0.379,0.6,0.7,0.893,0.3,1.0,1.3,0.6,0.6,0.1,0.5,1.8,5.7
0,203112.0,00,0.0,267.0,52.0,15.3,1.7,3.7,0.476,0.4,1.0,0.364,0.9,1.2,0.752,1.0,2.5,3.5,0.6,0.4,0.4,0.6,1.9,4.8
0,203500.0,00,0.0,322.0,258.0,23.9,3.1,5.4,0.572,0.0,0.0,0.0,1.5,2.5,0.576,2.7,3.8,6.5,0.8,0.7,1.0,1.3,2.7,7.7
0,1628389.0,00,0.0,8.0,3.0,14.0,1.4,2.9,0.478,0.0,0.0,0.0,1.0,1.4,0.727,1.8,2.6,4.4,0.0,0.5,0.5,0.4,1.5,3.8
0,201167.0,00,0.0,718.0,534.0,28.2,4.1,9.0,0.451,1.2,3.0,0.386,1.9,2.3,0.824,0.5,2.5,3.0,1.9,0.5,0.2,1.2,2.0,11.2
0,201582.0,00,0.0,293.0,76.0,13.3,2.2,4.4,0.503,0.0,0.1,0.286,0.9,1.1,0.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3
0,202332.0,00,0.0,322.0,23.0,10.4,1.3,2.5,0.53,0.0,0.0,0.0,0.6,0.7,0.746,1.0,2.4,3.5,0.6,0.4,0.7,0.6,1.6,3.2
0,200746.0,00,0.0,807.0,766.0,34.7,7.8,16.0,0.487,0.1,0.4,0.295,3.5,4.3,0.802,2.6,5.7,8.3,1.9,0.8,1.0,1.6,2.5,19.1
0,1628386.0,00,0.0,6.0,0.0,15.0,1.5,3.7,0.409,0.0,0.2,0.0,1.0,1.7,0.6,1.0,1.7,2.7,0.3,1.0,1.0,0.5,2.0,4.0
0,2754.0,00,0.0,810.0,441.0,22.2,3.2,6.7,0.475,0.2,0.5,0.28,1.7,2.3,0.709,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.2
0,202329.0,00,0.0,528.0,289.0,24.2,2.7,6.3,0.426,0.6,1.8,0.327,1.3,1.8,0.727,1.4,4.3,5.7,1.2,0.9,0.6,1.3,1.9,7.3
0,1626147.0,00,0.0,138.0,19.0,14.3,2.0,4.8,0.417,0.6,2.2,0.297,1.1,1.4,0.787,0.7,2.2,2.9,0.7,0.5,0.4,0.7,1.2,5.7
0,203937.0,00,0.0,196.0,46.0,15.1,1.6,3.5,0.449,0.2,0.5,0.34,0.7,0.9,0.753,0.4,2.7,3.1,1.4,0.7,0.4,0.6,1.1,4.0
